date,region,product,units,price,revenue,marketing_spend,churn_rate
2024-01-08,LATAM,Camera,33,118.92,3924.44,137.1,0.113
2024-01-08,LATAM,Book,40,135.15,5406.13,121.49,0.06
2024-01-09,North America,Headphones,32,91.7,2934.43,303.85,0.092
2024-01-09,North America,Smartwatch,18,131.5,2366.98,330.54,0.108
2024-01-09,North America,Laptop,54,61.19,3304.1,88.39,0.077
2024-01-09,Europe,Laptop,6,131.64,789.86,95.18,0.076
2024-01-09,Europe,Shoes,43,69.2,2975.42,245.53,0.047
2024-01-09,Europe,Book,27,59.95,1618.68,384.66,0.14
2024-01-09,APAC,Laptop,56,10.0,560.05,94.95,0.036
2024-01-09,APAC,Shoes,46,147.37,6778.8,389.25,0.094
2024-01-09,LATAM,Blender,50,91.6,4580.15,129.29,0.059
2024-01-09,LATAM,Shoes,20,85.15,1702.93,338.62,0.045
2024-01-09,LATAM,Camera,58,114.99,6669.55,146.97,0.134
2024-01-09,LATAM,Laptop,44,149.09,6559.79,221.09,0.084
2024-01-10,North America,Blender,7,12.16,85.12,97.33,0.043
2024-01-10,North America,Shoes,9,79.56,716.01,145.53,0.097
2024-01-10,North America,Book,57,27.34,1558.32,145.32,0.031
2024-01-10,Europe,Smartwatch,29,24.47,709.68,280.59,0.077
2024-01-10,Europe,Laptop,33,146.55,4836.01,89.52,0.098
2024-01-10,Europe,Book,15,27.38,410.76,323.26,0.064
2024-01-10,Europe,Headphones,54,74.16,4004.43,378.75,0.039
2024-01-10,APAC,Camera,36,52.63,1894.77,209.07,0.104
2024-01-10,APAC,Book,36,50.64,1822.9,334.31,0.069
2024-01-10,APAC,Shoes,32,72.99,2335.62,231.65,0.053
2024-01-10,APAC,Blender,45,14.82,666.73,259.7,0.044
2024-01-10,LATAM,Laptop,25,41.48,1037.07,217.0,0.092
2024-01-10,LATAM,Shoes,19,95.41,1812.78,175.25,0.134
2024-01-10,LATAM,Smartwatch,40,59.73,2389.38,152.26,0.123
2024-01-11,North America,Smartwatch,21,137.36,2884.47,50.06,0.127
2024-01-11,North America,Book,7,92.78,649.49,233.66,0.124
2024-01-11,North America,Shoes,43,98.46,4233.91,74.48,0.11
2024-01-11,Europe,Headphones,54,48.15,2600.27,313.3,0.062
2024-01-11,Europe,Laptop,51,132.55,6759.89,194.61,0.047
2024-01-11,Europe,Book,50,101.09,5054.66,125.74,0.086
2024-01-11,APAC,Blender,15,57.84,867.59,339.07,0.104
2024-01-11,APAC,Book,34,87.68,2981.03,157.61,0.147
2024-01-11,APAC,Camera,13,148.94,1936.16,248.08,0.052
2024-01-11,LATAM,Headphones,54,133.93,7232.36,293.91,0.049
2024-01-11,LATAM,Camera,10,68.24,682.35,70.31,0.044
2024-01-11,LATAM,Laptop,56,86.02,4816.98,336.82,0.136
2024-01-12,North America,Laptop,43,24.1,1036.09,61.99,0.114
2024-01-12,North America,Smartwatch,13,98.25,1277.28,190.09,0.14
2024-01-12,North America,Camera,31,83.21,2579.47,305.97,0.127
2024-01-12,North America,Book,46,88.38,4065.67,53.57,0.106
2024-01-12,Europe,Smartwatch,20,49.95,999.05,273.56,0.033
2024-01-12,Europe,Book,41,18.29,749.81,353.43,0.049
2024-01-12,Europe,Headphones,33,55.34,1826.06,100.26,0.034
2024-01-12,APAC,Laptop,25,103.49,2587.2,388.69,0.141
2024-01-12,APAC,Smartwatch,13,52.01,676.13,341.83,0.046
2024-01-12,APAC,Shoes,19,124.06,2357.08,352.81,0.052
2024-01-12,LATAM,Headphones,21,106.02,2226.33,50.3,0.099
2024-01-12,LATAM,Blender,7,55.14,385.99,324.87,0.054
2024-01-13,North America,Smartwatch,53,108.02,5725.23,332.52,0.136
2024-01-13,North America,Book,24,82.8,1987.13,140.8,0.051
2024-01-13,North America,Blender,8,126.94,1015.5,334.91,0.106
2024-01-13,North America,Headphones,35,16.24,568.28,186.94,0.099
2024-01-13,Europe,Laptop,37,124.63,4611.3,328.81,0.073
2024-01-13,Europe,Headphones,20,25.07,501.43,235.6,0.14
2024-01-13,Europe,Book,37,132.57,4905.09,161.21,0.056
2024-01-13,Europe,Smartwatch,23,91.61,2106.95,203.87,0.058
2024-01-13,APAC,Laptop,12,50.74,608.91,108.98,0.073
2024-01-13,APAC,Blender,18,104.09,1873.62,272.71,0.119
2024-01-13,APAC,Camera,45,24.34,1095.24,228.04,0.106
2024-01-13,APAC,Headphones,21,67.42,1415.85,295.05,0.054
2024-01-13,LATAM,Shoes,48,140.66,6751.52,319.15,0.148
2024-01-13,LATAM,Headphones,45,68.96,3103.14,252.01,0.13
2024-01-13,LATAM,Book,33,48.1,1587.21,271.25,0.139
2024-01-14,North America,Laptop,53,145.23,7697.08,158.17,0.044
2024-01-14,North America,Shoes,11,58.37,642.08,61.43,0.149
2024-01-14,North America,Smartwatch,6,122.23,733.4,344.04,0.056
2024-01-14,North America,Book,5,128.32,641.62,119.43,0.111
2024-01-14,Europe,Laptop,7,51.12,357.87,141.12,0.03
2024-01-14,Europe,Blender,11,127.4,1401.4,128.65,0.088
2024-01-14,APAC,Smartwatch,35,132.09,4623.04,207.25,0.103
2024-01-14,APAC,Laptop,10,116.39,1163.91,130.63,0.036
2024-01-14,APAC,Headphones,17,32.44,551.55,133.22,0.127
2024-01-14,LATAM,Laptop,29,35.3,1023.6,202.13,0.107
2024-01-14,LATAM,Shoes,50,53.96,2697.93,319.01,0.057
2024-01-14,LATAM,Smartwatch,38,29.87,1134.89,264.05,0.147
2024-01-14,LATAM,Headphones,57,132.46,7550.36,370.07,0.105
2024-01-15,North America,Shoes,18,129.98,2339.7,208.7,0.089
2024-01-15,North America,Smartwatch,14,45.29,634.03,227.69,0.076
2024-01-15,Europe,Shoes,29,46.14,1337.97,285.39,0.042
2024-01-15,Europe,Blender,30,61.57,1847.22,377.65,0.105
2024-01-15,Europe,Book,42,118.36,4970.92,373.37,0.068
2024-01-15,APAC,Headphones,34,47.17,1603.9,196.08,0.04
2024-01-15,APAC,Book,11,78.76,866.41,243.7,0.051
2024-01-15,APAC,Blender,36,92.98,3347.39,243.37,0.126
2024-01-15,LATAM,Headphones,23,22.49,517.38,240.21,0.149
2024-01-15,LATAM,Smartwatch,10,81.58,815.76,155.32,0.062
2024-01-15,LATAM,Shoes,53,99.41,5268.65,366.75,0.129
2024-01-16,North America,Headphones,22,60.25,1325.51,198.95,0.123
2024-01-16,North America,Laptop,35,12.53,438.52,153.63,0.107
2024-01-16,North America,Camera,43,138.75,5966.18,138.89,0.095
2024-01-16,Europe,Laptop,51,38.16,1946.21,195.67,0.145
2024-01-16,Europe,Book,28,45.43,1271.95,186.37,0.036
2024-01-16,APAC,Laptop,53,128.74,6822.98,290.14,0.075
2024-01-16,APAC,Headphones,55,116.76,6421.74,220.1,0.062
2024-01-16,APAC,Smartwatch,30,122.4,3672.12,125.53,0.129
2024-01-16,APAC,Camera,21,85.95,1805.02,214.41,0.117
2024-01-16,LATAM,Camera,6,119.49,716.94,260.15,0.124
2024-01-16,LATAM,Laptop,9,135.26,1217.33,399.08,0.042
2024-01-16,LATAM,Smartwatch,54,55.72,3008.88,241.88,0.04
2024-01-17,North America,Smartwatch,20,34.82,696.43,91.39,0.067
2024-01-17,North America,Blender,6,134.07,804.4,258.84,0.106
2024-01-17,North America,Laptop,23,50.2,1154.62,91.85,0.149
2024-01-17,North America,Headphones,5,124.56,622.81,149.39,0.078
2024-01-17,Europe,Camera,31,32.95,1021.57,360.07,0.092
2024-01-17,Europe,Headphones,27,18.9,510.41,124.56,0.127
2024-01-17,Europe,Laptop,13,26.44,343.7,137.99,0.092
2024-01-17,Europe,Shoes,28,34.66,970.49,247.58,0.134
2024-01-17,APAC,Camera,15,88.86,1332.88,146.0,0.102
2024-01-17,APAC,Headphones,44,128.71,5663.27,105.71,0.045
2024-01-17,APAC,Book,18,138.08,2485.44,214.97,0.067
2024-01-17,APAC,Shoes,32,97.77,3128.77,318.39,0.121
2024-01-17,LATAM,Shoes,59,86.47,5101.5,117.64,0.048
2024-01-17,LATAM,Book,55,52.3,2876.37,224.9,0.14
2024-01-17,LATAM,Smartwatch,53,83.55,4428.3,378.18,0.095
2024-01-17,LATAM,Laptop,6,13.27,79.64,271.47,0.075
2024-01-18,North America,Laptop,29,146.1,4236.93,145.14,0.122
2024-01-18,North America,Headphones,59,31.45,1855.63,377.2,0.123
2024-01-18,North America,Book,53,137.3,7277.13,338.16,0.045
2024-01-18,North America,Blender,58,88.1,5110.01,293.54,0.041
2024-01-18,Europe,Camera,42,84.76,3559.83,158.83,0.137
2024-01-18,Europe,Smartwatch,29,56.41,1635.79,216.11,0.106
2024-01-18,APAC,Book,5,108.47,542.36,266.08,0.149
2024-01-18,APAC,Camera,49,86.38,4232.84,171.23,0.147
2024-01-18,APAC,Smartwatch,39,56.75,2213.25,176.0,0.033
2024-01-18,APAC,Blender,26,10.92,283.83,115.62,0.04
2024-01-18,LATAM,Smartwatch,48,125.9,6043.29,121.53,0.141
2024-01-18,LATAM,Book,7,26.36,184.49,277.97,0.125
2024-01-18,LATAM,Headphones,35,119.01,4165.3,157.87,0.11
2024-01-19,North America,Laptop,25,90.24,2256.12,285.24,0.141
2024-01-19,North America,Shoes,24,27.45,658.82,150.93,0.121
2024-01-19,North America,Blender,50,41.08,2053.94,107.71,0.137
2024-01-19,Europe,Book,33,114.2,3768.7,364.93,0.132
2024-01-19,Europe,Shoes,44,68.71,3023.28,75.03,0.121
2024-01-19,Europe,Smartwatch,21,50.94,1069.73,366.87,0.096
2024-01-19,APAC,Blender,53,145.99,7737.37,369.78,0.08
2024-01-19,APAC,Headphones,47,106.76,5017.9,321.89,0.128
2024-01-19,APAC,Shoes,36,26.82,965.65,335.55,0.033
2024-01-19,APAC,Smartwatch,30,68.58,2057.45,134.84,0.039
2024-01-19,LATAM,Shoes,26,123.6,3213.58,358.42,0.039
2024-01-19,LATAM,Camera,30,136.41,4092.35,344.48,0.101
2024-01-20,North America,Book,13,127.54,1658.03,199.08,0.075
2024-01-20,North America,Laptop,45,53.64,2413.78,206.38,0.032
2024-01-20,North America,Shoes,29,108.34,3141.98,294.87,0.114
2024-01-20,Europe,Smartwatch,34,77.59,2638.1,143.74,0.149
2024-01-20,Europe,Book,50,31.91,1595.38,124.08,0.08
2024-01-20,Europe,Shoes,48,134.99,6479.29,220.13,0.076
2024-01-20,Europe,Headphones,51,112.14,5719.09,141.34,0.128
2024-01-20,APAC,Smartwatch,29,130.04,3771.25,129.09,0.11
2024-01-20,APAC,Headphones,11,120.7,1327.67,75.37,0.035
2024-01-20,APAC,Camera,55,140.59,7732.21,321.1,0.049
2024-01-20,LATAM,Blender,35,33.2,1162.09,71.39,0.114
2024-01-20,LATAM,Camera,31,47.54,1473.83,378.37,0.053
2024-01-20,LATAM,Headphones,13,37.16,483.09,263.99,0.093
2024-01-21,North America,Headphones,24,142.81,3427.47,96.97,0.047
2024-01-21,North America,Laptop,28,98.67,2762.84,259.55,0.093
2024-01-21,North America,Smartwatch,13,88.97,1156.66,195.69,0.104
2024-01-21,Europe,Shoes,10,125.89,1258.86,121.37,0.057
2024-01-21,Europe,Blender,50,38.72,1935.79,174.6,0.134
2024-01-21,Europe,Smartwatch,28,20.65,578.08,68.04,0.132
2024-01-21,APAC,Shoes,14,37.57,525.91,214.96,0.126
2024-01-21,APAC,Book,51,16.29,830.81,106.58,0.107
2024-01-21,APAC,Blender,20,27.52,550.31,387.59,0.106
2024-01-21,APAC,Camera,20,33.1,662.06,239.79,0.134
2024-01-21,LATAM,Laptop,12,39.72,476.65,355.87,0.069
2024-01-21,LATAM,Book,10,68.44,684.36,398.79,0.051
2024-01-22,North America,Book,52,90.88,4725.94,58.07,0.039
2024-01-22,North America,Headphones,52,32.39,1684.32,346.56,0.093
2024-01-22,North America,Shoes,37,129.18,4779.71,266.21,0.11
2024-01-22,Europe,Shoes,43,66.13,2843.71,354.74,0.031
2024-01-22,Europe,Blender,15,47.23,708.45,107.6,0.068
2024-01-22,Europe,Smartwatch,30,32.98,989.39,217.77,0.071
2024-01-22,APAC,Smartwatch,51,44.93,2291.35,395.99,0.049
2024-01-22,APAC,Headphones,43,71.78,3086.34,343.44,0.088
2024-01-22,APAC,Camera,18,109.0,1962.08,131.43,0.063
2024-01-22,APAC,Book,15,123.33,1849.91,249.77,0.139
2024-01-22,LATAM,Book,29,107.23,3109.69,349.42,0.057
2024-01-22,LATAM,Smartwatch,39,42.68,1664.35,209.09,0.111
2024-01-22,LATAM,Laptop,27,71.05,1918.46,294.01,0.118
2024-01-23,North America,Laptop,22,143.54,3157.82,371.9,0.134
2024-01-23,North America,Camera,33,55.27,1823.84,179.42,0.08
2024-01-23,North America,Blender,6,135.87,815.22,375.47,0.101
2024-01-23,North America,Shoes,27,19.92,537.75,297.57,0.096
2024-01-23,Europe,Laptop,52,65.18,3389.18,72.98,0.116
2024-01-23,Europe,Headphones,39,28.92,1127.86,69.49,0.041
2024-01-23,Europe,Shoes,57,48.54,2766.95,77.2,0.114
2024-01-23,APAC,Smartwatch,50,21.21,1060.47,123.85,0.086
2024-01-23,APAC,Camera,37,133.73,4947.93,78.56,0.137
2024-01-23,APAC,Shoes,27,104.67,2826.12,200.42,0.127
2024-01-23,APAC,Laptop,54,86.74,4683.97,360.29,0.092
2024-01-23,LATAM,Headphones,26,46.92,1220.01,209.69,0.121
2024-01-23,LATAM,Book,13,111.81,1453.57,147.36,0.109
2024-01-23,LATAM,Shoes,42,67.02,2814.78,398.04,0.143
2024-01-23,LATAM,Smartwatch,17,54.4,924.78,100.76,0.137
2024-01-24,North America,Camera,46,22.8,1048.88,97.34,0.111
2024-01-24,North America,Book,15,11.32,169.77,368.22,0.064
2024-01-24,Europe,Smartwatch,56,148.93,8340.14,128.65,0.149
2024-01-24,Europe,Laptop,17,61.84,1051.3,378.21,0.114
2024-01-24,Europe,Shoes,16,76.54,1224.65,341.92,0.063
2024-01-24,Europe,Headphones,19,99.87,1897.46,291.88,0.048
2024-01-24,APAC,Laptop,43,54.64,2349.61,384.37,0.143
2024-01-24,APAC,Camera,49,97.84,4793.98,291.45,0.103
2024-01-24,LATAM,Shoes,25,123.95,3098.83,73.98,0.071
2024-01-24,LATAM,Blender,32,91.03,2913.03,384.37,0.041
2024-01-24,LATAM,Camera,56,57.7,3231.09,83.7,0.045
2024-01-25,North America,Book,14,81.67,1143.41,124.9,0.073
2024-01-25,North America,Blender,19,120.62,2291.78,279.0,0.047
2024-01-25,Europe,Smartwatch,36,95.97,3454.8,241.6,0.079
2024-01-25,Europe,Headphones,26,21.46,558.03,241.11,0.087
2024-01-25,Europe,Shoes,11,134.09,1474.96,330.04,0.124
2024-01-25,Europe,Blender,32,149.01,4768.18,265.07,0.068
2024-01-25,APAC,Smartwatch,40,18.9,756.13,229.03,0.114
2024-01-25,APAC,Book,53,57.39,3041.72,89.07,0.055
2024-01-25,LATAM,Headphones,52,64.83,3371.3,199.0,0.147
2024-01-25,LATAM,Camera,7,19.54,136.8,210.12,0.036
2024-01-25,LATAM,Book,29,135.24,3921.86,384.23,0.136
2024-01-26,North America,Book,23,147.96,3403.07,116.64,0.132
2024-01-26,North America,Blender,33,24.12,795.83,378.42,0.037
2024-01-26,North America,Smartwatch,49,117.34,5749.75,327.07,0.067
2024-01-26,Europe,Laptop,32,15.52,496.54,115.56,0.121
2024-01-26,Europe,Book,58,105.98,6146.7,73.21,0.06
2024-01-26,APAC,Shoes,39,22.45,875.6,303.42,0.078
2024-01-26,APAC,Camera,15,70.25,1053.77,267.55,0.127
2024-01-26,APAC,Smartwatch,44,107.24,4718.53,208.78,0.072
2024-01-26,APAC,Book,42,55.49,2330.63,264.83,0.132
2024-01-26,LATAM,Camera,5,85.89,429.47,219.58,0.103
2024-01-26,LATAM,Laptop,51,105.19,5364.57,253.36,0.143
2024-01-26,LATAM,Smartwatch,45,12.32,554.39,268.5,0.13
2024-01-27,North America,Blender,5,27.48,137.38,64.57,0.128
2024-01-27,North America,Smartwatch,44,138.66,6101.2,391.65,0.098
2024-01-27,Europe,Camera,48,126.0,6047.86,357.81,0.041
2024-01-27,Europe,Shoes,34,122.75,4173.66,303.01,0.115
2024-01-27,APAC,Shoes,18,51.25,922.46,257.82,0.082
2024-01-27,APAC,Blender,18,62.74,1129.4,100.38,0.071
2024-01-27,APAC,Book,8,77.58,620.65,165.6,0.05
2024-01-27,LATAM,Shoes,22,87.56,1926.27,208.07,0.049
2024-01-27,LATAM,Blender,5,88.19,440.93,342.52,0.063
2024-01-27,LATAM,Smartwatch,31,140.66,4360.45,155.5,0.044
2024-01-27,LATAM,Book,8,36.62,293.0,350.39,0.106
2024-01-28,North America,Shoes,29,95.95,2782.54,310.36,0.067
2024-01-28,North America,Smartwatch,15,16.03,240.38,281.57,0.075
2024-01-28,North America,Blender,9,37.81,340.27,56.77,0.042
2024-01-28,North America,Book,55,149.17,8204.3,140.08,0.085
2024-01-28,Europe,Blender,34,116.77,3970.21,313.77,0.142
2024-01-28,Europe,Shoes,18,99.65,1793.64,268.3,0.072
2024-01-28,Europe,Headphones,37,123.94,4585.94,132.68,0.069
2024-01-28,Europe,Laptop,56,25.86,1447.89,354.47,0.148
2024-01-28,APAC,Shoes,33,134.08,4424.61,253.59,0.141
2024-01-28,APAC,Smartwatch,10,109.2,1091.96,155.95,0.06
2024-01-28,APAC,Headphones,35,60.01,2100.34,51.58,0.135
2024-01-28,APAC,Laptop,51,109.21,5569.78,128.68,0.06
2024-01-28,LATAM,Headphones,18,86.11,1549.92,347.39,0.059
2024-01-28,LATAM,Shoes,57,31.15,1775.57,89.66,0.11
2024-01-28,LATAM,Smartwatch,38,10.24,388.97,344.08,0.057
2024-01-29,North America,Camera,30,88.98,2669.48,89.11,0.056
2024-01-29,North America,Smartwatch,13,85.16,1107.05,172.36,0.099
2024-01-29,North America,Shoes,53,54.02,2862.83,202.31,0.053
2024-01-29,North America,Headphones,10,30.69,306.92,379.44,0.072
2024-01-29,Europe,Camera,12,134.87,1618.47,236.43,0.05
2024-01-29,Europe,Laptop,51,13.5,688.72,255.12,0.057
2024-01-29,APAC,Blender,34,23.21,789.17,337.31,0.129
2024-01-29,APAC,Headphones,12,109.79,1317.44,266.84,0.094
2024-01-29,APAC,Laptop,58,61.63,3574.37,288.81,0.077
2024-01-29,LATAM,Shoes,13,89.93,1169.09,370.89,0.06
2024-01-29,LATAM,Laptop,17,30.9,525.36,218.28,0.094
2024-01-29,LATAM,Blender,40,66.45,2658.18,116.24,0.06
2024-01-29,LATAM,Headphones,38,128.84,4895.99,298.58,0.14
2024-01-30,North America,Laptop,30,121.65,3649.62,338.95,0.098
2024-01-30,North America,Blender,37,81.05,2998.83,182.49,0.069
2024-01-30,Europe,Smartwatch,52,127.41,6625.24,179.48,0.064
2024-01-30,Europe,Laptop,11,105.49,1160.43,298.06,0.112
2024-01-30,Europe,Book,28,130.26,3647.3,293.01,0.093
2024-01-30,APAC,Smartwatch,12,90.33,1083.95,385.67,0.057
2024-01-30,APAC,Headphones,46,23.14,1064.38,330.27,0.036
2024-01-30,LATAM,Laptop,31,88.75,2751.27,262.63,0.104
2024-01-30,LATAM,Smartwatch,31,59.84,1855.06,384.58,0.126
2024-01-31,North America,Book,47,36.95,1736.66,148.48,0.14
2024-01-31,North America,Laptop,31,121.64,3770.77,387.52,0.086
2024-01-31,Europe,Camera,40,53.3,2131.96,369.8,0.101
2024-01-31,Europe,Laptop,20,142.72,2854.34,189.2,0.088
2024-01-31,Europe,Blender,11,78.22,860.45,237.71,0.057
2024-01-31,Europe,Headphones,40,77.22,3088.67,133.43,0.122
2024-01-31,APAC,Smartwatch,44,73.98,3255.21,321.6,0.086
2024-01-31,APAC,Shoes,20,143.5,2870.01,365.71,0.128
2024-01-31,LATAM,Headphones,48,37.39,1794.82,242.13,0.103
2024-01-31,LATAM,Camera,32,109.08,3490.69,129.06,0.071
2024-01-31,LATAM,Laptop,19,87.46,1661.79,244.35,0.068
2024-01-31,LATAM,Book,23,35.68,820.54,299.38,0.036
2024-02-01,North America,Smartwatch,55,84.53,4649.04,319.1,0.149
2024-02-01,North America,Blender,28,131.21,3673.76,126.47,0.066
2024-02-01,North America,Headphones,29,66.71,1934.71,245.72,0.149
2024-02-01,North America,Book,40,16.54,661.59,262.45,0.139
2024-02-01,Europe,Smartwatch,45,24.6,1107.01,379.33,0.079
2024-02-01,Europe,Book,12,17.8,213.54,275.04,0.082
2024-02-01,Europe,Laptop,11,131.33,1444.64,144.4,0.06
2024-02-01,Europe,Headphones,52,145.9,7587.01,55.21,0.077
2024-02-01,APAC,Laptop,38,63.31,2405.96,351.87,0.119
2024-02-01,APAC,Book,25,121.18,3029.43,278.66,0.147
2024-02-01,APAC,Shoes,52,34.64,1801.09,323.36,0.121
2024-02-01,LATAM,Book,15,83.58,1253.69,160.42,0.059
2024-02-01,LATAM,Shoes,28,64.5,1805.98,230.88,0.075
2024-02-01,LATAM,Blender,41,67.23,2756.29,246.24,0.036
2024-02-02,North America,Camera,42,72.45,3042.98,105.24,0.143
2024-02-02,North America,Laptop,40,65.33,2613.25,223.97,0.084
2024-02-02,Europe,Book,10,126.32,1263.18,325.13,0.069
2024-02-02,Europe,Camera,56,119.45,6689.27,361.18,0.109
2024-02-02,Europe,Shoes,7,140.77,985.38,383.77,0.112
